,Image,YOLO_inference_time,num_bbox,OODL_feat_extraction_time,OSVM_inference_time,OOD_object_present
1700,001700.png,1318.857,1.0,1380.288,0.301,1.0
1701,001701.png,1317.157,1.0,1372.803,0.283,1.0
1702,001702.png,1317.596,4.0,5286.488,0.488,1.0
1703,001703.png,1318.622,4.0,5299.927,0.467,4.0
1704,001704.png,1315.275,6.0,7957.718,0.704,5.0
1705,001705.png,1310.679,1.0,1386.565,0.279,0.0
1706,001706.png,1310.387,1.0,1381.267,0.282,1.0
1707,001707.png,1314.528,1.0,1381.834,0.293,1.0
1708,001708.png,1313.99,8.0,11055.697,0.859,0.0
1709,001709.png,1312.161,5.0,6662.433,0.619,0.0
1710,001710.png,1304.482,,,,0.0
1711,001711.png,1315.496,4.0,5304.132,0.539,0.0
1712,001712.png,1335.945,2.0,2680.09,0.384,0.0
1713,001713.png,1320.74,3.0,4017.208,0.419,0.0
1714,001714.png,1315.981,8.0,10923.306,0.733,0.0
1715,001715.png,1311.47,1.0,1397.121,0.289,0.0
1716,001716.png,1310.426,4.0,5308.617,0.54,0.0
1717,001717.png,1321.857,3.0,3982.688,0.459,0.0
1718,001718.png,1321.167,4.0,5308.493,0.511,0.0
1719,001719.png,1365.816,,,,0.0
1720,001720.png,1336.313,3.0,3991.819,0.417,3.0
1721,001721.png,1315.308,,,,3.0
1722,001722.png,1315.078,10.0,13665.11,0.877,0.0
1723,001723.png,1327.545,,,,0.0
1724,001724.png,1319.526,8.0,10838.754,0.745,0.0
1725,001725.png,1315.329,1.0,1401.338,0.306,1.0
1726,001726.png,1314.427,1.0,1382.542,0.282,1.0
1727,001727.png,1327.705,4.0,5306.568,0.465,2.0
1728,001728.png,1339.322,5.0,11092.733,3.196,0.0
1729,001729.png,1329.979,1.0,1467.031,0.297,1.0
1730,001730.png,1318.795,5.0,6902.323,0.626,3.0
1731,001731.png,1325.211,3.0,6525.581,0.409,2.0
1732,001732.png,1331.968,3.0,1812047.963,0.956,0.0
1733,001733.png,1310.752,2.0,3145.276,0.368,2.0
1734,001734.png,1307.582,,,,2.0
